афар (aa)
абхазки (ab)
ачински (ace)
аколи (ach)
адангме (ada)
адиге (ady)
авестски (ae)
африкаанс (af)
африхили (afh)
агем (agq)
айну (ain)
акан (ak)
акадски (akk)
алеутски (ale)
южноалтайски (alt)
амхарски (am)
арагонски (an)
староанглийски (ang)
ангика (anp)
арабски (ar)
съвременен стандартен арабски (ar_001)
арамейски (arc)
мапуче (arn)
арапахо (arp)
аравак (arw)
асамски (as)
асу (asa)
астурски (ast)
аварски (av)
авади (awa)
аймара (ay)
азербайджански (az)
башкирски (ba)
балучи (bal)
балийски (ban)
баса (bas)
беларуски (be)
бея (bej)
бемба (bem)
бена (bez)
български (bg)
западен балочи (bgn)
божпури (bho)
бислама (bi)
биколски (bik)
бини (bin)
сиксика (bla)
бамбара (bm)
бенгалски (bn)
тибетски (bo)
бретонски (br)
брадж (bra)
бодо (brx)
босненски (bs)
бурятски (bua)
бугински (bug)
биленски (byn)
каталонски (ca)
каддо (cad)
карибски (car)
атсам (cch)
чеченски (ce)
себуано (ceb)
чига (cgg)
чаморо (ch)
чибча (chb)
чагатай (chg)
чуук (chk)
марийски (chm)
жаргон чинуук (chn)
чокто (cho)
чиипувски (chp)
чероки (chr)
чейенски (chy)
кюрдски (централен) (ckb)
корсикански (co)
коптски (cop)
крии (cr)
кримскотатарски (crh)
сеселва, креолски френски (crs)
чешки (cs)
кашубски (csb)
църковнославянски (cu)
чувашки (cv)
уелски (cy)
датски (da)
дакотски (dak)
даргва (dar)
таита (dav)
немски (de)
делауер (del)
слейви (den)
догриб (dgr)
динка (din)
зарма (dje)
догри (doi)
долносръбски (dsb)
дуала (dua)
средновековен холандски (dum)
дивехи (dv)
диола (dyo)
диула (dyu)
дзонха (dz)
дазага (dzg)
ембу (ebu)
еве (ee)
ефик (efi)
древноегипетски (egy)
екажук (eka)
гръцки (el)
еламитски (elx)
английски (en)
английски (САЩ) (en_US)
средновековен английски (enm)
есперанто (eo)
испански (es)
естонски (et)
баски (eu)
евондо (ewo)
персийски (fa)
фанг (fan)
фанти (fat)
фула (ff)
фински (fi)
филипински (fil)
фиджийски (fj)
фарьорски (fo)
фон (fon)
френски (fr)
средновековен френски (frm)
старофренски (fro)
северен фризски (frr)
източнофризийски (frs)
фриулиански (fur)
фризийски (fy)
ирландски (ga)
га (gaa)
гагаузки (gag)
гайо (gay)
гбая (gba)
шотландски галски (gd)
гииз (gez)
гилбертски (gil)
галисийски (gl)
средновисоконемски (gmh)
гуарани (gn)
старовисоконемски (goh)
гонди (gon)
горонтало (gor)
готически (got)
гребо (grb)
древногръцки (grc)
швейцарски немски (gsw)
гуджарати (gu)
гусии (guz)
манкски (gv)
гвичин (gwi)
хауза (ha)
хайда (hai)
хавайски (haw)
иврит (he)
хинди (hi)
хилигайнон (hil)
хитски (hit)
хмонг (hmn)
хири моту (ho)
хърватски (hr)
горнолужишки (hsb)
хаитянски креолски (ht)
унгарски (hu)
хупа (hup)
арменски (hy)
хереро (hz)
интерлингва (ia)
ибан (iba)
ибибио (ibb)
индонезийски (id)
оксидентал (ie)
игбо (ig)
съчуански и (ii)
